[3.5927481651306152, 0.3956834673881531]	159241.0,191.0,6.9,11.0,1185.0,134.0,1590.0,0.7672665569724393	 0.36369336569579286,0.29856115107913667,0.7372881355932204,0.5,0.7255813953488373,0.39568345323741005,0.2003577817531306,0.4584945944086715	 50 R1: 0 10 7 0  R2: 0 3 1 3 2 8 1 8 6 5 7 1 8 1 9 7 0  R3: 0 5 9 0  R4: 0 10 5 10 2 7 8 6 9 1 9 10 3 6 7 10 6 4 2 7 3 1 6 5 10 0  R5: 0 11 7 5 1 6 2 11 6 1 5 8 10 6 0  R6: 0 1 4 1 8 0  R7: 0 10 1 0  R8: 0 9 11 0  R9: 0 2 6 0  R10: 0 4 3 2 3 5 7 5 1 6 8 3 9 4 10 0  R11: 0 8 1 0  
[4.413158893585205, 0.49640288949012756]	171339.0,252.0,6.9,12.0,1020.0,148.0,1802.0,0.8102824885993044	 0.6083940129449839,0.40827338129496404,0.8728813559322034,0.6,0.5337209302325582,0.49640287769784175,0.5796064400715564,0.6622340347220492	 50 R1: 0 10 7 5 1 2 7 8 0  R2: 0 3 9 0  R3: 0 7 9 5 10 7 1 2 6 3 10 6 10 4 0  R4: 0 1 5 0  R5: 0 10 1 3 7 2 8 6 1 3 8 5 7 9 10 1 8 1 5 6 3 4 0  R6: 0 1 8 0  R7: 0 2 5 0  R8: 0 7 3 0  R9: 0 5 2 5 11 7 5 1 10 9 11 6 8 1 2 9 0  R10: 0 9 11 0  R11: 0 8 1 8 9 2 9 6 10 3 1 6 4 0  R12: 0 4 3 0  
[4.291171550750732, 0.6690647602081299]	171733.0,229.0,6.9,12.0,941.0,172.0,1834.0,0.8241049621603027	 0.6163632686084143,0.3669064748201439,0.8050847457627118,0.6,0.4418604651162791,0.6690647482014388,0.6368515205724508,0.7277024070333312	 50 R1: 0 6 8 0  R2: 0 3 9 0  R3: 0 1 5 3 5 11 7 2 5 9 11 6 8 5 7 1 0  R4: 0 6 1 6 4 3 10 0  R5: 0 10 5 1 3 2 9 8 10 7 9 1 2 6 7 10 5 6 7 3 4 1 5 8 0  R6: 0 1 8 1 0  R7: 0 7 2 5 1 8 9 5 7 3 1 6 4 2 8 1 8 3 0  R8: 0 2 5 0  R9: 0 10 1 3 10 6 10 0  R10: 0 2 9 7 0  R11: 0 9 11 3 4 0  R12: 0 2 6 4 0  
[4.077811241149902, 0.5899280309677124]	170804.0,203.0,6.9,13.0,986.0,161.0,1774.0,0.8007979641131815	 0.5975728155339806,0.32014388489208634,0.635593220338983,0.7,0.4941860465116279,0.5899280575539568,0.5295169946332737,0.6173118015549692	 50 R1: 0 1 5 3 1 8 0  R2: 0 2 5 2 9 0  R3: 0 5 1 3 5 1 4 10 0  R4: 0 2 9 0  R5: 0 9 2 6 8 9 7 1 10 0  R6: 0 8 1 8 3 0  R7: 0 10 7 0  R8: 0 6 8 9 3 11 7 6 5 1 2 6 4 3 1 5 10 0  R9: 0 3 10 6 9 11 7 0  R10: 0 2 8 0  R11: 0 7 5 9 8 1 2 11 5 7 6 3 5 10 1 10 7 3 1 6 10 4 0  R12: 0 8 1 0  R13: 0 4 3 0  
[4.257828235626221, 0.2589927911758423]	168974.0,190.0,6.9,12.0,965.0,115.0,1828.0,0.8063169642857143	 0.5605582524271845,0.29676258992805754,0.8983050847457628,0.6,0.4697674418604651,0.2589928057553957,0.6261180679785331,0.6434518376698447	 50 R1: 0 5 1 0  R2: 0 5 9 11 7 0  R3: 0 3 9 0  R4: 0 1 5 3 1 8 1 2 5 9 5 1 2 10 5 8 7 2 6 3 4 1 10 5 0  R5: 0 1 3 4 0  R6: 0 6 11 6 4 3 2 1 9 0  R7: 0 10 6 0  R8: 0 8 1 6 8 6 3 10 3 6 10 6 4 7 3 0  R9: 0 2 7 5 2 9 0  R10: 0 10 1 0  R11: 0 8 6 0  R12: 0 9 10 9 8 1 9 7 6 11 2 8 3 6 1 4 10 0  
[4.357290744781494, 0.4748201370239258]	170463.0,304.0,6.9,11.0,1168.0,145.0,1709.0,0.7898328523328524	 0.5906755663430421,0.5017985611510791,0.8559322033898306,0.5,0.7058139534883721,0.4748201438848921,0.41323792486583183,0.5653769566589762	 50 R1: 0 6 8 6 9 11 7 10 0  R2: 0 3 9 0  R3: 0 5 7 2 9 0  R4: 0 11 6 8 3 10 1 10 6 7 3 10 4 0  R5: 0 1 5 2 1 5 1 8 1 5 1 3 4 2 9 6 4 3 10 6 1 8 1 4 7 5 0  R6: 0 10 6 0  R7: 0 2 10 5 7 0  R8: 0 5 1 5 9 11 7 3 9 2 3 10 9 5 7 5 1 2 8 6 3 4 10 0  R9: 0 8 1 0  R10: 0 2 9 0  R11: 0 8 1 0  
[3.3514556884765625, 0.6187050342559814]	161493.0,105.0,6.9,10.0,960.0,165.0,1698.0,0.7781021394064872	 0.4092435275080906,0.14388489208633093,0.7627118644067796,0.4,0.46395348837209305,0.6187050359712231,0.3935599284436494,0.5098159401773085	 50 R1: 0 5 9 2 9 8 1 0  R2: 0 6 8 6 9 11 7 10 6 10 1 10 8 3 6 10 4 1 0  R3: 0 3 9 5 7 1 5 1 2 10 9 8 3 4 7 5 10 5 1 7 8 1 0  R4: 0 1 3 5 0  R5: 0 10 6 1 3 11 7 4 0  R6: 0 2 5 8 1 0  R7: 0 8 1 0  R8: 0 7 3 0  R9: 0 9 11 5 7 3 2 1 8 2 6 4 1 5 0  R10: 0 4 3 2 9 7 0  
[3.1719307899475098, 0.5323740839958191]	161501.0,88.0,6.9,10.0,1002.0,153.0,1651.0,0.757452614379085	 0.4094053398058252,0.11330935251798561,0.6694915254237288,0.4,0.5127906976744186,0.5323741007194245,0.3094812164579606,0.4120121146478735	 50 R1: 0 5 2 9 0  R2: 0 6 8 6 9 11 7 10 6 10 1 10 8 3 6 10 4 1 0  R3: 0 3 9 5 7 1 5 1 2 10 9 8 3 7 5 10 7 5 1 2 6 4 1 5 0  R4: 0 11 6 0  R5: 0 10 1 3 11 5 7 6 0  R6: 0 8 2 9 1 8 0  R7: 0 1 4 2 5 0  R8: 0 7 3 0  R9: 0 8 1 8 9 1 5 1 7 3 9 4 2 8 1 7 0  R10: 0 4 3 0  
[4.00539493560791, 0.3956834673881531]	166079.0,171.0,6.9,13.0,954.0,134.0,1801.0,0.819567687214746	 0.502002427184466,0.26258992805755393,0.6864406779661016,0.7,0.4569767441860465,0.39568345323741005,0.5778175313059034,0.7062121864802957	 50 R1: 0 9 10 0  R2: 0 1 5 3 2 9 0  R3: 0 1 8 0  R4: 0 1 5 0  R5: 0 3 4 0  R6: 0 5 1 3 5 1 2 9 5 10 7 8 1 9 7 5 7 2 6 4 1 0  R7: 0 6 8 6 9 11 7 10 6 10 1 10 8 3 6 10 4 1 0  R8: 0 3 10 2 5 9 6 8 1 5 11 3 7 6 2 9 0  R9: 0 7 2 0  R10: 0 11 8 1 7 0  R11: 0 7 8 1 3 0  R12: 0 2 6 0  R13: 0 4 3 2 8 0  
[4.419632434844971, 0.6043165326118469]	177684.0,239.0,6.9,12.0,1092.0,163.0,1702.0,0.7984953703703703	 0.7367313915857605,0.38489208633093525,0.8813559322033898,0.6,0.6174418604651163,0.60431654676259,0.4007155635062612,0.6064058617627355	 50 R1: 0 5 1 2 5 6 1 0  R2: 0 8 3 0  R3: 0 3 9 0  R4: 0 1 5 1 4 5 9 8 1 6 10 9 8 1 3 6 10 4 10 7 1 3 6 0  R5: 0 10 6 2 5 1 8 9 0  R6: 0 7 2 0  R7: 0 6 10 0  R8: 0 11 2 9 8 7 11 6 9 3 11 4 0  R9: 0 6 4 0  R10: 0 8 1 0  R11: 0 9 10 5 1 2 9 8 5 1 2 7 3 1 5 10 6 0  R12: 0 4 3 7 2 5 9 7 8 1 6 10 6 10 0  
