[3.7564024925231934, 0.3525179922580719]
[4.128773212432861, 0.35971224308013916]
[4.203786373138428, 0.2517985701560974]
[4.453403949737549, 0.3381294906139374]
[3.827118158340454, 0.5035971403121948]
[4.5887885093688965, 0.3381294906139374]
[4.469776153564453, 0.38129496574401855]
[3.669717788696289, 0.316546767950058]
[3.1090636253356934, 0.7410072088241577]
[3.5979561805725098, 0.597122311592102]
[4.2696661949157715, 0.4316546618938446]
[4.060102462768555, 0.5611510872840881]
[3.8088490962982178, 0.4460431635379791]
[3.9980459213256836, 0.28057554364204407]
[4.072710037231445, 0.597122311592102]
[3.9335622787475586, 0.5251798629760742]
[4.194129943847656, 0.6115108132362366]
[4.32377290725708, 0.46043166518211365]
[3.1998236179351807, 0.6906474828720093]
[4.458296298980713, 0.17985612154006958]
[4.467545986175537, 0.568345308303833]
[4.8253173828125, 0.6187050342559814]
[4.0301666259765625, 0.34532374143600464]
[4.06738805770874, 0.40287768840789795]
[4.543282508850098, 0.35971224308013916]
[4.521846294403076, 0.02158273383975029]
[4.778464317321777, 0.3309352397918701]
[3.4333901405334473, 0.4316546618938446]
[4.659504413604736, 0.5035971403121948]
[3.8718743324279785, 0.5323740839958191]
[3.2254536151885986, 0.41726619005203247]
[3.1541855335235596, 0.633093535900116]
[3.5447914600372314, 0.6115108132362366]
[3.487668514251709, 0.26618704199790955]
[3.781593084335327, 0.5827338099479675]
[3.8356244564056396, 0.6115108132362366]
[3.6522066593170166, 0.5611510872840881]
[4.550174236297607, 0.34532374143600464]
[4.231042861938477, 0.6546762585639954]
[3.089110851287842, 0.6978417038917542]
[4.040009021759033, 0.3741007149219513]
[3.0848910808563232, 0.6043165326118469]
[3.666581392288208, 0.3093525171279907]
[4.140120983123779, 0.18705035746097565]
[3.3891615867614746, 0.7266187071800232]
[3.525139331817627, 0.4316546618938446]
[3.6604413986206055, 0.43884891271591187]
[4.232900142669678, 0.4100719392299652]
[4.121464252471924, 0.4892086386680603]
[4.307785987854004, 0.43884891271591187]
[2.8538284301757812, 0.568345308303833]
[4.954370021820068, 0.2589927911758423]
[3.8990478515625, 0.5755395889282227]
[4.182697296142578, 0.6546762585639954]
[4.2233123779296875, 0.3381294906139374]
[4.9628496170043945, 0.34532374143600464]
[4.1081438064575195, 0.5755395889282227]
[4.887303829193115, 0.5323740839958191]
[4.355057716369629, 0.5755395889282227]
[3.754350423812866, 0.5539568066596985]
[3.882412910461426, 0.5323740839958191]
[3.7859854698181152, 0.4100719392299652]
[3.743411064147949, 0.4892086386680603]
[3.4795939922332764, 0.6690647602081299]
[4.135930061340332, 0.4748201370239258]
[3.829038143157959, 0.8057553768157959]
[4.276687145233154, 0.35971224308013916]
[4.397396564483643, 0.5539568066596985]
[3.9771363735198975, 0.5323740839958191]
[3.537437677383423, 0.5539568066596985]
[3.991194009780884, 0.6402877569198608]
[3.4402918815612793, 0.5827338099479675]
[4.269879341125488, 0.6258992552757263]
[2.814469575881958, 0.6258992552757263]
[3.3910608291625977, 0.36690646409988403]
[3.392078161239624, 0.6258992552757263]
[3.068859100341797, 0.4748201370239258]
[3.3043620586395264, 0.5899280309677124]
[3.6664469242095947, 0.6043165326118469]
[3.8192434310913086, 0.4892086386680603]
[3.127194881439209, 0.46043166518211365]
[3.5335490703582764, 0.3884892165660858]
[2.544538736343384, 0.6115108132362366]
[3.403703451156616, 0.7841726541519165]
[3.8893301486968994, 0.6187050342559814]
[3.0687291622161865, 0.7122302055358887]
[3.4947195053100586, 0.6978417038917542]
[4.905010223388672, 0.3956834673881531]
[4.200564861297607, 0.2589927911758423]
[4.360893726348877, 0.48201438784599304]
[4.636756420135498, 0.35971224308013916]
[4.056405067443848, 0.3884892165660858]
[3.705940008163452, 0.6546762585639954]
[3.8027567863464355, 0.7625899314880371]
[4.114998817443848, 0.5899280309677124]
[4.526514530181885, 0.633093535900116]
[3.5990045070648193, 0.4748201370239258]
[4.159033298492432, 0.5755395889282227]
[4.535752296447754, 0.12949639558792114]
[3.811785936355591, 0.4748201370239258]
