[43337.28515625, 21078.084246875, 8294.6356609375]
[44015.05078125, 21795.94166875, 7454.71866875]
[44084.9296875, 21707.377215625, 7456.91349296875]
[43267.40234375, 21166.646746875, 8292.441325]
[49137.00390625, 25717.400653125, 7198.96866875]
[43261.59765625, 20086.935809375, 9308.6053875]
[44704.73046875, 21476.927996875, 7525.16251640625]
[43576.62890625, 20784.381121875, 8324.87491875]
[44061.61328125, 20418.845965625, 8651.6298015625]
[43412.50390625, 20061.060809375, 9321.9579265625]
[44740.27734375, 19311.726825, 12768.912028125]
[48374.67578125, 19046.896746875, 15412.6258953125]
[44621.63671875, 21381.013934375, 7552.7118328125]
[44934.54296875, 21345.03541875, 7597.95157890625]
[45608.421875, 19244.744403125, 14454.410075]
