155755,190,178,3,7,1032,144,1208,0.7662337662337663	
155950,190,178,3,7,1044,140,1200,0.7662337662337663	
155363,190,178,3,7,1020,150,1214,0.7662337662337663	
169611,314,161,0,12,1253,125,1290,0.803030303030303	
172961,493,164,1,13,1432,143,1235,0.8041958041958042	
177367,493,164,1,14,1421,139,1260,0.8116883116883117	
169306,525,164,2,10,1467,158,1188,0.7545454545454545	
174757,515,164,1,11,1470,161,1208,0.768595041322314	
174757,515,164,1,11,1470,161,1208,0.768595041322314	
172463,543,164,0,11,1600,152,1146,0.7603305785123966	
172463,543,164,0,11,1600,152,1146,0.7603305785123966	
172463,543,164,0,11,1600,152,1146,0.7603305785123966	
167881,550,164,1,10,1601,167,1130,0.7636363636363637	
169442,557,157,1,11,1669,109,1140,0.7603305785123966	
169442,557,157,1,11,1669,109,1140,0.7603305785123966	
166146,558,157,1,10,1680,110,1139,0.7454545454545455	
169576,599,157,1,11,1779,119,1072,0.743801652892562	
154825,593,169,2,7,1747,143,1035,0.6363636363636364	
157827,628,169,3,8,1773,134,1032,0.6704545454545454	
173903,301,161,1,11,1266,108,1278,0.768595041322314	
173903,301,161,1,11,1266,108,1278,0.768595041322314	
173903,301,161,1,11,1266,108,1278,0.768595041322314	
168873,325,161,1,9,1292,127,1185,0.7272727272727273	
166994,294,162,2,10,1255,114,1237,0.7545454545454545	
170639,310,161,1,9,1191,135,1191,0.7575757575757576	
175579,480,179,0,11,1685,136,1059,0.743801652892562	
170911,518,165,1,10,1489,142,1234,0.7363636363636363	
168165,518,165,1,10,1490,141,1235,0.7363636363636363	
168434,510,165,1,10,1482,146,1230,0.7363636363636363	
168434,510,165,1,10,1482,146,1230,0.7363636363636363	
172049,364,139,1,11,1317,114,1115,0.768595041322314	
171780,372,139,1,11,1325,109,1120,0.768595041322314	
170873,415,165,4,11,1273,144,1240,0.768595041322314	
178908,358,155,1,11,1319,113,1159,0.7768595041322314	
181915,358,155,1,12,1247,111,1272,0.803030303030303	
164013,416,169,1,11,1251,131,1268,0.7933884297520661	
172425,379,138,1,11,1335,114,1194,0.768595041322314	
170162,392,138,0,10,1384,148,1215,0.7545454545454545	
170162,392,138,0,10,1384,148,1215,0.7545454545454545	
171184,392,116,0,9,1470,147,1145,0.7171717171717171	
171184,392,116,0,9,1470,147,1145,0.7171717171717171	
171184,392,116,0,9,1470,147,1145,0.7171717171717171	
163585,260,159,2,8,1235,135,1093,0.7386363636363636	
164583,335,160,2,9,1367,141,1057,0.7474747474747474	
167903,406,148,0,10,1504,145,1125,0.7454545454545455	
167903,406,148,0,10,1504,145,1125,0.7454545454545455	
167903,406,148,0,10,1504,145,1125,0.7454545454545455	
162757,273,161,2,11,1131,129,1202,0.7768595041322314	
171858,275,161,1,13,1086,120,1324,0.8111888111888113	
157760,495,166,3,8,1512,153,967,0.7159090909090909	
166543,462,166,2,11,1409,144,1184,0.7851239669421488	
166543,462,166,2,11,1409,144,1184,0.7851239669421488	
163260,393,166,4,11,1364,129,1188,0.7768595041322314	
163260,393,166,4,11,1364,129,1188,0.7768595041322314	
150924,442,166,2,6,1476,136,1166,0.7121212121212122	
162235,525,139,2,8,1536,168,1117,0.7159090909090908	
162235,525,139,2,8,1536,168,1117,0.7159090909090908	
159420,548,167,3,7,1642,146,1036,0.6753246753246753	
158234,548,167,3,7,1612,135,1077,0.6753246753246753	
156583,372,140,2,8,1305,145,1164,0.7045454545454546	
156583,372,140,2,8,1305,145,1164,0.7045454545454546	
156583,372,140,2,8,1305,145,1164,0.7045454545454546	
149660,328,144,3,7,1312,175,1111,0.7142857142857143	
149660,328,144,3,7,1312,175,1111,0.7142857142857143	
176384,390,169,0,11,1320,149,1282,0.768595041322314	
169141,390,148,0,9,1320,171,1265,0.7474747474747474	
169141,390,148,0,9,1320,171,1265,0.7474747474747474	
169141,390,148,0,9,1320,171,1265,0.7474747474747474	
165932,201,136,4,11,1098,111,1129,0.7851239669421488	
