#
179784,71,153,13,713,163,1443,0.8601398601398602	
173996,29,160,13,784,118,1382,0.8321678321678322	
149184,297,105,7,1104,141,1380,0.7662337662337663	
155703,115,155,8,1062,128,1255,0.7386363636363636	
177045,83,168,13,977,99,1283,0.8181818181818181	
158581,239,169,10,1410,142,1025,0.7363636363636363	
156482,572,174,9,1795,116,1076,0.696969696969697	
169284,58,123,12,790,129,1455,0.8106060606060607	
156956,254,163,8,1184,123,1309,0.7386363636363636	
163628,55,151,16,749,115,1452,0.8181818181818181	
164184,83,159,10,848,136,1411,0.7909090909090909	
166552,126,158,10,884,150,1384,0.8090909090909091	
163100,182,141,10,870,131,1437,0.8272727272727273	
171829,77,128,12,711,152,1456,0.803030303030303	
167046,109,166,10,967,163,1317,0.8	
#
179784,71,153,13,713,163,1443,0.8601398601398602	
173996,29,160,13,784,118,1382,0.8321678321678322	
149184,297,105,7,1104,141,1380,0.7662337662337663	
155703,115,155,8,1062,128,1255,0.7386363636363636	
177045,83,168,13,977,99,1283,0.8181818181818181	
158581,239,169,10,1410,142,1025,0.7363636363636363	
156482,572,174,9,1795,116,1076,0.696969696969697	
175016,22,150,13,735,126,1405,0.8461538461538461	
171945,60,153,11,796,123,1391,0.8347107438016529	
176593,90,159,13,635,147,1578,0.8531468531468531	
173751,101,118,11,744,145,1492,0.8347107438016529	
163721,159,172,8,1004,139,1329,0.7727272727272727	
164429,98,134,11,808,151,1448,0.8016528925619835	
163628,55,151,16,749,115,1452,0.8181818181818181	
167514,174,154,10,843,122,1484,0.8272727272727273	
167070,25,146,9,808,123,1332,0.797979797979798	
169284,58,123,12,790,129,1455,0.8106060606060607	
171829,77,128,12,711,152,1456,0.803030303030303	
#
167070,25,146,9,808,123,1332,0.797979797979798	
149184,297,105,7,1104,141,1380,0.7662337662337663	
155703,115,155,8,1062,128,1255,0.7386363636363636	
177045,83,168,13,977,99,1283,0.8181818181818181	
158581,239,169,10,1410,142,1025,0.7363636363636363	
156482,572,174,9,1795,116,1076,0.696969696969697	
176593,90,159,13,635,147,1578,0.8531468531468531	
