96636,123,159,16,6,663,156,1115,0.7424242424242424	 R1: 0 9 10 0  R2: 0 3 9 0  R3: 0 1 10 1 6 3 4 5 0  R4: 0 7 5 2 5 1 2 6 10 1 3 4 9 7 10 6 4 10 1 7 3 10 6 10 5 0  R5: 0 2 5 11 7 0  R6: 0 9 2 11 6 10 4 2 3 9 5 1 2 6 0  
139074,35,161,10,11,552,73,1409,0.8264462809917356	 R1: 0 10 6 10 9 1 7 11 5 1 0  R2: 0 3 9 0  R3: 0 1 3 2 11 7 5 0  R4: 0 1 4 3 0  R5: 0 7 2 8 1 9 11 2 3 6 2 9 7 10 6 0  R6: 0 7 2 3 6 0  R7: 0 10 1 0  R8: 0 3 4 0  R9: 0 5 10 6 5 2 5 1 2 5 9 4 10 7 10 6 3 4 8 1 3 1 10 5 0  R10: 0 6 4 0  R11: 0 6 10 0  
102637,477,80,13,4,1475,148,749,0.6136363636363636	 R1: 0 11 6 9 11 5 7 0  R2: 0 1 10 1 2 11 7 2 9 2 6 1 10 3 2 9 4 10 1 5 3 10 0  R3: 0 7 5 2 5 1 6 10 9 3 4 2 7 10 6 10 3 7 2 1 6 10 4 3 5 8 0  R4: 0 6 4 0  
155024,110,169,1,8,1030,142,1171,0.7272727272727273	 R1: 0 3 9 0  R2: 0 1 5 2 5 9 10 3 6 8 9 11 2 9 7 5 7 1 8 0  R3: 0 1 4 3 5 1 0  R4: 0 10 6 0  R5: 0 7 1 2 9 8 9 6 3 7 1 10 6 4 8 1 8 1 3 5 2 0  R6: 0 11 8 1 2 11 10 4 8 1 3 6 7 2 6 5 3 10 4 0  R7: 0 7 10 1 6 10 3 0  R8: 0 5 7 1 0  
127968,344,145,6,4,1291,148,864,0.5454545454545454	 R1: 0 1 3 2 5 9 5 1 8 9 10 9 3 7 5 1 7 4 10 6 4 11 0  R2: 0 1 5 3 10 0  R3: 0 7 1 2 9 2 9 5 3 4 1 9 2 10 3 10 1 6 1 5 8 7 9 0  R4: 0 11 8 1 6 10 11 6 1 2 10 8 6 4 7 2 3 10 6 10 0  
110627,35,139,15,8,467,90,1264,0.8068181818181819	 R1: 0 10 11 6 5 1 7 3 4 5 1 0  R2: 0 1 3 2 11 7 5 0  R3: 0 7 2 0  R4: 0 7 2 3 6 0  R5: 0 10 1 0  R6: 0 5 10 6 5 2 5 1 2 5 9 4 10 7 10 6 3 4 8 1 3 1 10 5 0  R7: 0 6 10 0  R8: 0 9 2 6 10 1 2 9 7 10 6 0  
111621,177,136,15,7,877,53,1030,0.7792207792207793	 R1: 0 11 6 1 10 9 5 1 7 0  R2: 0 1 3 7 2 5 0  R3: 0 1 2 11 7 3 9 10 7 2 3 2 6 10 9 10 7 1 6 1 4 5 3 0  R4: 0 5 1 0  R5: 0 5 10 6 5 2 5 1 2 5 9 4 10 7 10 6 3 4 0  R6: 0 2 6 0  R7: 0 6 10 0  
113253,452,160,12,5,1710,117,536,0.6363636363636364	 R1: 0 3 9 5 10 0  R2: 0 1 10 1 2 11 3 2 10 11 9 8 2 6 11 4 1 10 6 1 6 10 4 5 8 7 0  R3: 0 6 1 6 10 0  R4: 0 7 1 2 9 8 9 5 3 7 2 1 10 9 2 3 1 10 6 5 0  R5: 0 4 3 9 7 6 4 0  
127968,344,145,6,4,1291,148,864,0.5454545454545454	 R1: 0 1 3 2 5 9 5 1 8 9 10 9 3 7 5 1 7 4 10 6 4 11 0  R2: 0 1 5 3 10 0  R3: 0 7 1 2 9 2 9 5 3 4 1 9 2 10 3 10 1 6 1 5 8 7 9 0  R4: 0 11 8 1 6 10 11 6 1 2 10 8 6 4 7 2 3 10 6 10 0  
96636,123,159,16,6,663,156,1115,0.7424242424242424	 R1: 0 9 10 0  R2: 0 3 9 0  R3: 0 1 10 1 6 3 4 5 0  R4: 0 7 5 2 5 1 2 6 10 1 3 4 9 7 10 6 4 10 1 7 3 10 6 10 5 0  R5: 0 2 5 11 7 0  R6: 0 9 2 11 6 10 4 2 3 9 5 1 2 6 0  
96636,123,159,16,6,663,156,1115,0.7424242424242424	 R1: 0 9 10 0  R2: 0 3 9 0  R3: 0 1 10 1 6 3 4 5 0  R4: 0 7 5 2 5 1 2 6 10 1 3 4 9 7 10 6 4 10 1 7 3 10 6 10 5 0  R5: 0 2 5 11 7 0  R6: 0 9 2 11 6 10 4 2 3 9 5 1 2 6 0  
