#
170019,107,163,10,1006,160,1267,0.475	
157633,113,168,10,833,128,1465,0.375	
161322,145,137,10,1041,140,1315,0.35	
158096,180,161,10,977,127,1405,0.42500000000000004	
163574,77,132,12,848,166,1351,0.5208333333333333	
160557,100,139,11,819,168,1401,0.5681818181818181	
158654,104,151,8,1035,148,1229,0.375	
161297,84,125,10,1053,153,1199,0.4	
158243,166,156,8,932,172,1360,0.375	
171600,165,155,10,838,166,1442,0.525	
168487,220,124,7,1115,131,1277,0.2857142857142857	
153468,53,161,10,1019,140,1178,0.42500000000000004	
152252,241,117,8,1239,175,1187,0.34375	
167911,121,162,11,845,132,1420,0.4772727272727273	
173292,110,157,14,947,137,1334,0.5357142857142857	
153541,132,135,10,799,125,1488,0.475	
156787,205,154,10,1057,114,1362,0.525	
171731,175,173,12,821,121,1526,0.5625	
153034,91,130,12,831,136,1392,0.5208333333333333	
156764,157,158,9,1029,169,1299,0.36111111111111116	
170623,81,161,11,1012,138,1230,0.5	
174574,101,159,12,923,149,1321,0.47916666666666663	
163483,185,161,10,982,141,1353,0.525	
161198,133,140,10,897,115,1400,0.5	
174430,62,135,12,919,132,1338,0.5	
156764,169,148,10,860,140,1461,0.4	
167683,252,158,11,1330,162,1124,0.43181818181818177	
160830,117,169,12,831,148,1446,0.47916666666666663	
151680,11,162,8,665,159,1445,0.4375	
159215,102,157,9,786,136,1477,0.4722222222222222	
162990,135,157,11,935,131,1368,0.4545454545454546	
159330,172,104,9,1081,170,1278,0.38888888888888884	
147784,78,150,9,892,156,1341,0.5277777777777778	
152225,121,140,8,908,179,1328,0.375	
153543,104,153,10,976,151,1277,0.475	
160631,63,169,11,779,152,1422,0.5454545454545454	
163012,124,152,11,902,128,1379,0.4772727272727273	
169092,127,170,11,1121,150,1190,0.38636363636363635	
170409,128,154,9,1104,163,1172,0.4444444444444444	
170082,87,163,12,896,140,1366,0.5416666666666667	
163069,171,138,10,1127,160,1193,0.4	
162997,46,156,11,836,179,1304,0.6136363636363636	
157225,86,143,8,895,155,1324,0.40625	
152905,197,112,8,1131,184,1213,0.40625	
165382,114,149,13,889,131,1376,0.5576923076923077	
167879,256,159,12,1120,118,1366,0.47916666666666663	
151814,198,129,7,1018,178,1345,0.3571428571428571	
160274,37,127,10,767,180,1403,0.525	
171232,87,157,12,893,138,1346,0.5416666666666667	
154384,113,128,10,851,160,1377,0.525	
164379,91,146,10,864,133,1373,0.5	
177522,98,159,13,949,135,1307,0.4807692307692307	
163207,275,157,10,1132,138,1335,0.44999999999999996	
153364,306,152,7,1188,121,1311,0.3214285714285714	
