159857,66,158,0,11,778,137,1453,0.8016528925619835	
149530,103,142,0,9,810,158,1439,0.7676767676767677	
145340,90,114,0,6,865,143,1392,0.696969696969697	
148466,148,158,0,8,874,162,1444,0.75	
150004,108,158,1,9,811,144,1397,0.7676767676767677	
156754,68,158,1,10,826,129,1280,0.7909090909090909	
158315,123,158,1,10,821,155,1453,0.7818181818181819	
130458,76,149,1,6,853,144,1364,0.6818181818181819	
143690,106,158,1,7,865,149,1281,0.7272727272727273	
144992,140,158,1,7,852,175,1439,0.7402597402597403	
138376,140,158,1,7,866,161,1421,0.7142857142857143	
147457,130,132,1,9,871,156,1366,0.7575757575757576	
144265,68,132,2,7,817,123,1302,0.7272727272727273	
140719,108,143,2,8,826,143,1332,0.75	
144937,165,158,0,8,1056,149,1284,0.75	
143959,68,146,3,8,724,129,1181,0.7840909090909091	
137839,106,158,2,6,857,149,1188,0.696969696969697	
134190,98,129,2,6,859,172,1274,0.696969696969697	
132751,127,89,2,5,854,179,1250,0.6545454545454545	
132427,136,89,2,5,862,181,1249,0.6545454545454545	
133697,126,82,2,5,890,170,1218,0.6363636363636364	
131597,76,132,3,7,791,143,1305,0.7142857142857143	
142195,108,158,3,8,785,144,1383,0.7613636363636364	
155014,178,158,1,9,1047,118,1195,0.7676767676767677	
134429,120,127,3,6,819,144,1286,0.696969696969697	
145930,68,153,4,9,721,112,1122,0.8080808080808081	
147216,68,148,4,8,738,111,1292,0.7840909090909091	
128973,134,97,3,5,849,162,1210,0.6545454545454545	
123146,104,118,3,5,863,135,1217,0.6545454545454545	
139323,68,146,4,8,765,112,1220,0.7840909090909091	
141594,117,132,3,8,867,147,1175,0.75	
136725,205,97,2,6,981,124,1206,0.6666666666666667	
132051,78,132,4,6,765,145,1218,0.7121212121212122	
125978,108,132,4,6,783,142,1352,0.696969696969697	
129366,107,118,3,6,911,153,1161,0.6818181818181819	
143313,112,158,5,9,772,139,1154,0.7777777777777778	
142210,187,128,3,7,1010,103,1268,0.7012987012987013	
141227,284,158,2,8,1112,130,1186,0.75	
128178,191,116,3,5,1009,144,1056,0.6363636363636364	
120592,128,126,5,5,808,155,1237,0.6727272727272727	
132765,68,153,6,7,738,112,1024,0.7792207792207793	
137787,117,158,6,8,731,122,1267,0.7840909090909091	
126004,76,159,6,7,781,110,1282,0.7662337662337663	
122314,128,123,6,5,808,155,1219,0.6727272727272727	
129918,134,97,6,5,819,140,1057,0.6909090909090909	
127517,254,143,5,7,932,127,1106,0.7402597402597403	
135017,152,159,6,8,883,129,1185,0.7840909090909091	
145384,64,136,6,9,914,158,1015,0.7575757575757576	
119260,254,120,6,5,939,141,836,0.6727272727272727	
126524,429,124,3,5,1317,134,1188,0.6181818181818182	
129598,82,158,9,8,690,95,1028,0.7954545454545454	
117885,319,132,6,5,1063,141,869,0.6363636363636364	
114072,257,52,7,4,989,139,911,0.6136363636363636	
108855,239,72,8,4,1002,138,817,0.6136363636363636	
142354,262,136,9,5,894,163,1019,0.7272727272727273	
113686,308,83,10,5,955,119,817,0.6909090909090909	
111640,332,132,10,6,1045,116,752,0.696969696969697	
117018,109,76,14,5,783,117,778,0.6909090909090909	
127273,326,88,11,6,1114,96,738,0.7121212121212122	
140431,200,153,12,8,1043,110,796,0.7954545454545454	
123515,255,162,11,6,1161,114,951,0.7121212121212122	
119557,185,102,13,6,971,96,804,0.6666666666666667	
113827,213,158,12,4,1084,108,852,0.6136363636363636	
115815,277,164,13,5,965,94,1042,0.7090909090909091	
112700,229,23,11,3,1197,175,613,0.5454545454545454	
124092,129,158,15,6,761,118,726,0.7878787878787878	
123476,352,134,12,5,1089,127,952,0.6909090909090909	
118539,204,90,15,5,771,98,901,0.7272727272727273	
115087,432,165,15,5,1042,103,1054,0.7090909090909091	
120699,594,101,16,5,1165,78,723,0.7272727272727273	
