[3.40362811088562, 0.3777777850627899]	159241.0,191.0,145.0,11.0,1185.0,134.0,1185.0,0.7672665569724393	 0.25013705813648607,0.296028880866426,0.6296296296296297,0.5,0.811443433029909,0.37777777777777777,0.14912280701754385,0.4584945944086715	 50 R1: 0 10 7 0  R2: 0 3 1 3 2 8 1 8 6 5 7 1 8 1 9 7 0  R3: 0 5 9 0  R4: 0 10 5 10 2 7 8 6 9 1 9 10 3 6 7 10 6 4 2 7 3 1 6 5 10 0  R5: 0 11 7 5 1 6 2 11 6 1 5 8 10 6 0  R6: 0 1 4 1 8 0  R7: 0 10 1 0  R8: 0 9 11 0  R9: 0 2 6 0  R10: 0 4 3 2 3 5 7 5 1 6 8 3 9 4 10 0  R11: 0 8 1 0  
[4.403966426849365, 0.48148149251937866]	171339.0,252.0,161.0,12.0,1020.0,148.0,1402.0,0.8102824885993044	 0.5385073773031726,0.40613718411552346,0.8271604938271605,0.6,0.5968790637191157,0.48148148148148145,0.625,0.6622340347220492	 50 R1: 0 10 7 5 1 2 7 8 0  R2: 0 3 9 0  R3: 0 7 9 5 10 7 1 2 6 3 10 6 10 4 0  R4: 0 1 5 0  R5: 0 10 1 3 7 2 8 6 1 3 8 5 7 9 10 1 8 1 5 6 3 4 0  R6: 0 1 8 0  R7: 0 2 5 0  R8: 0 7 3 0  R9: 0 5 2 5 11 7 5 1 10 9 11 6 8 1 2 9 0  R10: 0 9 11 0  R11: 0 8 1 8 9 2 9 6 10 3 1 6 4 0  R12: 0 4 3 0  
[4.267501354217529, 0.6592592597007751]	171733.0,229.0,153.0,12.0,941.0,172.0,1440.0,0.8241049621603027	 0.5478988391771744,0.36462093862815886,0.7283950617283951,0.6,0.494148244473342,0.6592592592592592,0.7083333333333334,0.7277024070333312	 50 R1: 0 6 8 0  R2: 0 3 9 0  R3: 0 1 5 3 5 11 7 2 5 9 11 6 8 5 7 1 0  R4: 0 6 1 6 4 3 10 0  R5: 0 10 5 1 3 2 9 8 10 7 9 1 2 6 7 10 5 6 7 3 4 1 5 8 0  R6: 0 1 8 1 0  R7: 0 7 2 5 1 8 9 5 7 3 1 6 4 2 8 1 8 3 0  R8: 0 2 5 0  R9: 0 10 1 3 10 6 10 0  R10: 0 2 9 7 0  R11: 0 9 11 3 4 0  R12: 0 2 6 4 0  
[3.939793109893799, 0.5777778029441833]	170804.0,203.0,133.0,13.0,986.0,161.0,1373.0,0.8007979641131815	 0.5257550115605558,0.3176895306859206,0.48148148148148145,0.7,0.552665799739922,0.5777777777777777,0.5614035087719298,0.6173118015549692	 50 R1: 0 1 5 3 1 8 0  R2: 0 2 5 2 9 0  R3: 0 5 1 3 5 1 4 10 0  R4: 0 2 9 0  R5: 0 9 2 6 8 9 7 1 10 0  R6: 0 8 1 8 3 0  R7: 0 10 7 0  R8: 0 6 8 9 3 11 7 6 5 1 2 6 4 3 1 5 10 0  R9: 0 3 10 6 9 11 7 0  R10: 0 2 8 0  R11: 0 7 5 9 8 1 2 11 5 7 6 3 5 10 1 10 7 3 1 6 10 4 0  R12: 0 8 1 0  R13: 0 4 3 0  
[4.195037841796875, 0.2370370328426361]	168974.0,190.0,164.0,12.0,965.0,115.0,1401.0,0.8063169642857143	 0.4821347698615117,0.29422382671480146,0.8641975308641975,0.6,0.5253576072821846,0.23703703703703705,0.6228070175438597,0.6434518376698447	 50 R1: 0 5 1 0  R2: 0 5 9 11 7 0  R3: 0 3 9 0  R4: 0 1 5 3 1 8 1 2 5 9 5 1 2 10 5 8 7 2 6 3 4 1 10 5 0  R5: 0 1 3 4 0  R6: 0 6 11 6 4 3 2 1 9 0  R7: 0 10 6 0  R8: 0 8 1 6 8 6 3 10 3 6 10 6 4 7 3 0  R9: 0 2 7 5 2 9 0  R10: 0 10 1 0  R11: 0 8 6 0  R12: 0 9 10 9 8 1 9 7 6 11 2 8 3 6 1 4 10 0  
[4.353213310241699, 0.4592592716217041]	170463.0,304.0,159.0,11.0,1168.0,145.0,1324.0,0.7898328523328524	 0.5176268681619908,0.5,0.8024691358024691,0.5,0.7893368010403121,0.45925925925925926,0.45394736842105265,0.5653769566589762	 50 R1: 0 6 8 6 9 11 7 10 0  R2: 0 3 9 0  R3: 0 5 7 2 9 0  R4: 0 11 6 8 3 10 1 10 6 7 3 10 4 0  R5: 0 1 5 2 1 5 1 8 1 5 1 3 4 2 9 6 4 3 10 6 1 8 1 4 7 5 0  R6: 0 10 6 0  R7: 0 2 10 5 7 0  R8: 0 5 1 5 9 11 7 3 9 2 3 10 9 5 7 5 1 2 8 6 3 4 10 0  R9: 0 8 1 0  R10: 0 2 9 0  R11: 0 8 1 0  
[3.1898138523101807, 0.6074073910713196]	161493.0,105.0,148.0,10.0,960.0,165.0,1291.0,0.7781021394064872	 0.3038161752437251,0.1407942238267148,0.6666666666666666,0.4,0.5188556566970091,0.6074074074074074,0.3815789473684211,0.5098159401773085	 50 R1: 0 5 9 2 9 8 1 0  R2: 0 6 8 6 9 11 7 10 6 10 1 10 8 3 6 10 4 1 0  R3: 0 3 9 5 7 1 5 1 2 10 9 8 3 4 7 5 10 5 1 7 8 1 0  R4: 0 1 3 5 0  R5: 0 10 6 1 3 11 7 4 0  R6: 0 2 5 8 1 0  R7: 0 8 1 0  R8: 0 7 3 0  R9: 0 9 11 5 7 3 2 1 8 2 6 4 1 5 0  R10: 0 4 3 2 9 7 0  
[2.88423752784729, 0.5185185074806213]	161501.0,88.0,137.0,10.0,1002.0,153.0,1212.0,0.757452614379085	 0.3040068648249231,0.11010830324909747,0.5308641975308642,0.4,0.5734720416124838,0.5185185185185185,0.20833333333333334,0.4120121146478735	 50 R1: 0 5 2 9 0  R2: 0 6 8 6 9 11 7 10 6 10 1 10 8 3 6 10 4 1 0  R3: 0 3 9 5 7 1 5 1 2 10 9 8 3 7 5 10 7 5 1 2 6 4 1 5 0  R4: 0 11 6 0  R5: 0 10 1 3 11 5 7 6 0  R6: 0 8 2 9 1 8 0  R7: 0 1 4 2 5 0  R8: 0 7 3 0  R9: 0 8 1 8 9 1 5 1 7 3 9 4 2 8 1 7 0  R10: 0 4 3 0  
[3.8228297233581543, 0.3777777850627899]	166079.0,171.0,139.0,13.0,954.0,134.0,1374.0,0.819567687214746	 0.4131289776654828,0.259927797833935,0.5555555555555556,0.7,0.5110533159947984,0.37777777777777777,0.5635964912280702,0.7062121864802957	 50 R1: 0 9 10 0  R2: 0 1 5 3 2 9 0  R3: 0 1 8 0  R4: 0 1 5 0  R5: 0 3 4 0  R6: 0 5 1 3 5 1 2 9 5 10 7 8 1 9 7 5 7 2 6 4 1 0  R7: 0 6 8 6 9 11 7 10 6 10 1 10 8 3 6 10 4 1 0  R8: 0 3 10 2 5 9 6 8 1 5 11 3 7 6 2 9 0  R9: 0 7 2 0  R10: 0 11 8 1 7 0  R11: 0 7 8 1 3 0  R12: 0 2 6 0  R13: 0 4 3 2 8 0  
[4.446103572845459, 0.5925925970077515]	177684.0,239.0,162.0,12.0,1092.0,163.0,1320.0,0.7984953703703703	 0.6897480513908422,0.38267148014440433,0.8395061728395061,0.6,0.6905071521456437,0.5925925925925926,0.4451754385964912,0.6064058617627355	 50 R1: 0 5 1 2 5 6 1 0  R2: 0 8 3 0  R3: 0 3 9 0  R4: 0 1 5 1 4 5 9 8 1 6 10 9 8 1 3 6 10 4 10 7 1 3 6 0  R5: 0 10 6 2 5 1 8 9 0  R6: 0 7 2 0  R7: 0 6 10 0  R8: 0 11 2 9 8 7 11 6 9 3 11 4 0  R9: 0 6 4 0  R10: 0 8 1 0  R11: 0 9 10 5 1 2 9 8 5 1 2 7 3 1 5 10 6 0  R12: 0 4 3 7 2 5 9 7 8 1 6 10 6 10 0  
[3.805832624435425, 0.7407407164573669]	167169.0,190.0,167.0,10.0,1080.0,183.0,1263.0,0.7761858974358975	 0.4391104331037113,0.29422382671480146,0.9012345679012346,0.4,0.6749024707412223,0.7407407407407407,0.3201754385964912,0.5007399059772466	 50 R1: 0 5 9 1 2 9 6 8 10 6 10 3 7 10 5 1 10 1 7 3 1 4 10 5 0  R2: 0 3 9 0  R3: 0 1 5 3 0  R4: 0 10 6 0  R5: 0 7 2 0  R6: 0 11 8 1 2 9 5 1 4 7 3 10 0  R7: 0 5 1 2 5 1 8 3 6 1 3 9 4 5 6 10 6 8 1 8 3 4 7 0  R8: 0 6 2 6 4 6 10 0  R9: 0 9 11 2 8 0  R10: 0 9 2 11 6 8 2 9 1 0  
[4.642452239990234, 0.7333333492279053]	178148.0,260.0,163.0,13.0,1122.0,182.0,1309.0,0.8186431623931624	 0.7008080471003265,0.42057761732851984,0.8518518518518519,0.7,0.729518855656697,0.7333333333333333,0.42105263157894735,0.7018332932985973	 50 R1: 0 10 1 3 5 8 1 8 6 1 4 3 9 8 0  R2: 0 9 7 2 9 0  R3: 0 6 10 8 1 0  R4: 0 5 1 2 10 8 3 9 5 1 9 3 4 7 6 10 6 2 10 1 3 10 6 10 11 4 0  R5: 0 2 9 0  R6: 0 10 7 0  R7: 0 3 9 0  R8: 0 11 6 0  R9: 0 2 8 0  R10: 0 7 1 5 1 8 2 9 5 3 10 7 5 7 5 1 6 2 8 1 3 5 6 0  R11: 0 11 7 0  R12: 0 7 8 1 3 0  R13: 0 6 4 0  
[4.135936260223389, 0.5259259343147278]	173414.0,151.0,156.0,13.0,969.0,154.0,1345.0,0.8281508875739645	 0.5879674874264057,0.22382671480144403,0.7654320987654321,0.7,0.5305591677503251,0.5259259259259259,0.5,0.7468654135788946	 50 R1: 0 10 1 3 5 6 8 1 8 4 9 3 6 7 10 5 1 8 1 8 3 4 6 11 0  R2: 0 3 10 6 10 0  R3: 0 5 7 4 3 0  R4: 0 10 6 2 1 5 6 4 0  R5: 0 2 9 0  R6: 0 9 2 9 10 2 8 6 4 0  R7: 0 5 1 0  R8: 0 3 9 0  R9: 0 6 8 0  R10: 0 11 6 0  R11: 0 1 5 10 2 1 7 2 8 10 6 10 1 7 9 2 9 7 5 0  R12: 0 11 8 1 2 5 1 7 8 1 5 7 0  R13: 0 7 3 0  
[3.981489419937134, 0.5407407283782959]	167718.0,211.0,166.0,11.0,1164.0,156.0,1216.0,0.8070335863814124	 0.45219650561342456,0.33212996389891697,0.8888888888888888,0.5,0.7841352405721717,0.5407407407407407,0.21710526315789475,0.6468460262686231	 50 R1: 0 3 9 2 1 8 5 2 1 11 9 3 4 9 6 7 5 11 10 8 3 1 0  R2: 0 1 5 10 0  R3: 0 10 1 3 5 6 8 4 9 6 10 8 1 7 5 6 4 10 6 8 3 1 10 5 7 2 0  R4: 0 7 2 0  R5: 0 6 10 0  R6: 0 5 7 0  R7: 0 7 3 0  R8: 0 8 6 0  R9: 0 8 11 1 6 10 5 8 3 6 2 9 5 1 2 6 4 7 6 10 0  R10: 0 2 9 0  R11: 0 4 3 2 8 0  
[3.3973777294158936, 0.48148149251937866]	174158.0,178.0,104.0,11.0,976.0,148.0,1373.0,0.7945908258408259	 0.6057016184778204,0.27256317689530685,0.12345679012345678,0.5,0.5396618985695709,0.48148148148148145,0.5614035087719298,0.5879124876326904	 50 R1: 0 9 10 0  R2: 0 3 9 2 1 8 5 2 1 11 9 3 6 7 5 11 10 1 8 3 1 5 10 6 7 0  R3: 0 2 8 0  R4: 0 10 1 5 9 6 8 1 10 5 3 8 1 7 0  R5: 0 7 11 7 2 6 8 5 7 3 2 9 4 0  R6: 0 7 3 0  R7: 0 10 6 4 8 6 10 3 1 0  R8: 0 5 10 1 5 2 9 4 8 6 10 0  R9: 0 2 6 0  R10: 0 9 6 2 1 0  R11: 0 4 3 9 7 6 4 0  
[3.8840200901031494, 0.6666666865348816]	164946.0,213.0,155.0,12.0,1151.0,173.0,1235.0,0.783068783068783	 0.386122565728315,0.33574007220216606,0.7530864197530864,0.6,0.7672301690507152,0.6666666666666666,0.25877192982456143,0.5333398105602566	 50 R1: 0 3 9 0  R2: 0 1 5 0  R3: 0 10 1 3 7 2 8 9 11 6 8 7 10 1 4 0  R4: 0 1 8 0  R5: 0 9 5 7 6 4 0  R6: 0 11 8 1 6 7 5 1 8 3 2 10 5 1 10 6 8 1 3 4 0  R7: 0 5 7 0  R8: 0 7 3 0  R9: 0 5 2 10 5 1 2 5 6 9 4 3 1 0  R10: 0 6 10 0  R11: 0 2 6 0  R12: 0 9 10 9 2 3 11 2 9 6 8 1 3 1 7 5 10 0  
[3.8360133171081543, 0.5629629492759705]	164780.0,352.0,121.0,9.0,1022.0,159.0,1503.0,0.7879004997060552	 0.3821657569184564,0.5866425992779783,0.3333333333333333,0.3,0.599479843953186,0.562962962962963,0.8464912280701754,0.5562246164031196	 50 R1: 0 10 7 0  R2: 0 3 9 1 5 3 2 8 9 10 11 6 8 1 10 4 6 8 7 1 6 1 5 3 2 10 0  R3: 0 2 8 0  R4: 0 1 8 1 2 5 6 1 3 9 7 6 4 0  R5: 0 7 11 7 5 1 6 8 9 4 7 10 5 3 7 8 3 2 10 11 0  R6: 0 5 7 0  R7: 0 3 4 0  R8: 0 10 6 2 4 6 1 0  R9: 0 5 10 2 5 6 9 8 1 5 1 6 10 2 9 5 1 0  
[4.437495231628418, 0.4000000059604645]	182442.0,138.0,170.0,13.0,972.0,137.0,1311.0,0.8358030987231393	 0.8031606798083569,0.2003610108303249,0.9382716049382716,0.7,0.5344603381014305,0.4,0.42543859649122806,0.7831091297493697	 50 R1: 0 10 1 3 7 5 2 8 6 9 10 3 1 10 4 6 8 7 1 6 1 5 3 10 0  R2: 0 1 8 0  R3: 0 9 7 0  R4: 0 3 2 8 4 10 1 0  R5: 0 2 9 0  R6: 0 9 11 2 8 2 1 6 9 8 3 10 0  R7: 0 10 7 0  R8: 0 3 9 0  R9: 0 6 8 6 10 9 11 5 1 0  R10: 0 1 5 2 5 9 10 0  R11: 0 11 7 0  R12: 0 8 1 8 2 5 1 7 4 7 5 6 7 4 6 3 10 4 0  R13: 0 2 6 0  
[4.042522430419922, 0.5037037134170532]	180633.0,123.0,170.0,11.0,1072.0,151.0,1209.0,0.8046711432506888	 0.7600409982599575,0.17328519855595667,0.9382716049382716,0.5,0.6644993498049415,0.5037037037037037,0.20175438596491227,0.6356566175304612	 50 R1: 0 5 9 0  R2: 0 6 8 6 10 4 3 2 8 0  R3: 0 3 9 0  R4: 0 1 5 2 8 10 8 9 2 1 3 7 4 6 10 5 2 8 3 6 4 0  R5: 0 10 1 3 7 5 2 8 6 9 10 3 1 10 4 6 8 7 1 6 1 5 3 10 0  R6: 0 1 8 0  R7: 0 2 10 11 7 5 1 6 7 0  R8: 0 8 1 5 7 0  R9: 0 11 7 0  R10: 0 9 11 9 2 9 7 5 1 10 6 3 10 1 4 0  R11: 0 2 9 0  
[2.4661788940429688, 0.7185184955596924]	152462.0,54.0,128.0,8.0,808.0,180.0,1382.0,0.8068011675824176	 0.08855147426882463,0.048736462093862815,0.41975308641975306,0.2,0.3211963589076723,0.7185185185185186,0.581140350877193,0.6457452044513422	 50 R1: 0 6 8 6 10 4 3 2 8 9 1 2 8 3 6 0  R2: 0 3 9 1 4 5 2 3 9 2 5 11 6 8 7 10 1 6 4 10 1 7 3 1 5 0  R3: 0 9 7 0  R4: 0 5 1 0  R5: 0 7 1 8 5 2 1 9 10 9 11 5 7 0  R6: 0 11 7 0  R7: 0 5 10 2 5 9 8 1 9 10 7 5 2 3 4 6 1 10 7 8 3 6 10 1 0  R8: 0 6 4 0  
[2.752870559692383, 0.644444465637207]	150072.0,34.0,150.0,9.0,708.0,170.0,1439.0,0.8199964387464388	 0.031582961885919955,0.01263537906137184,0.691358024691358,0.3,0.19115734720416125,0.6444444444444445,0.706140350877193,0.7082429130924337	 50 R1: 0 9 5 7 9 11 3 4 10 0  R2: 0 5 1 0  R3: 0 10 7 0  R4: 0 6 8 6 10 4 3 2 8 9 1 2 8 3 6 0  R5: 0 3 9 1 4 5 3 9 2 5 11 6 8 7 10 1 6 4 10 1 7 3 1 5 10 0  R6: 0 2 7 5 1 8 1 9 5 2 1 9 7 5 7 5 10 1 6 8 1 6 10 0  R7: 0 11 2 9 7 0  R8: 0 5 10 6 0  R9: 0 6 4 0  
[4.118813514709473, 0.3037036955356598]	183261.0,162.0,140.0,12.0,933.0,124.0,1391.0,0.7999251089324618	 0.822682525683503,0.24368231046931407,0.5679012345679012,0.6,0.4837451235370611,0.3037037037037037,0.6008771929824561,0.6131776349969353	 50 R1: 0 3 5 9 5 11 10 8 1 6 7 5 7 3 8 9 6 0  R2: 0 11 6 1 0  R3: 0 1 3 1 7 2 8 6 9 0  R4: 0 1 3 8 1 0  R5: 0 1 10 5 2 5 1 6 2 5 10 7 6 10 0  R6: 0 9 2 9 7 10 6 8 1 0  R7: 0 1 5 0  R8: 0 1 4 0  R9: 0 7 6 4 3 0  R10: 0 3 4 2 8 0  R11: 0 9 5 9 11 7 10 5 1 7 2 10 3 6 10 1 0  R12: 0 4 8 3 6 4 1 2 8 3 6 0  
[3.858793258666992, 0.5259259343147278]	157827.0,331.0,156.0,9.0,1183.0,154.0,1325.0,0.7632090132090132	 0.21643267465973828,0.5487364620938628,0.7654320987654321,0.3,0.8088426527958388,0.5259259259259259,0.45614035087719296,0.4392765590403253	 50 R1: 0 3 5 9 5 11 10 8 1 6 7 5 8 3 9 7 6 1 10 6 3 1 5 10 4 0  R2: 0 11 6 1 3 2 8 9 7 3 10 6 10 4 0  R3: 0 1 5 1 2 5 1 2 5 9 2 8 1 3 4 5 1 8 1 8 3 0  R4: 0 10 6 0  R5: 0 7 1 2 9 8 6 9 11 10 5 7 10 6 0  R6: 0 5 10 7 0  R7: 0 8 1 0  R8: 0 2 6 0  R9: 0 4 3 0  
[4.278179168701172, 0.43703705072402954]	164991.0,331.0,156.0,11.0,1198.0,142.0,1324.0,0.7945194956558593	 0.3871951946225538,0.5487364620938628,0.7654320987654321,0.5,0.8283485045513654,0.43703703703703706,0.45394736842105265,0.5875746413647405	 50 R1: 0 9 10 0  R2: 0 3 5 9 5 11 10 8 1 6 7 5 8 3 9 7 6 1 10 6 3 1 5 10 4 0  R3: 0 10 6 0  R4: 0 11 6 1 3 2 8 9 7 3 10 6 10 4 0  R5: 0 1 5 1 2 5 1 2 5 9 2 8 1 3 4 5 1 8 1 8 3 0  R6: 0 5 7 0  R7: 0 10 6 0  R8: 0 7 1 2 9 8 10 6 9 11 7 0  R9: 0 5 7 4 3 0  R10: 0 8 1 0  R11: 0 2 6 0  
[4.028056621551514, 0.37037035822868347]	170372.0,167.0,153.0,12.0,941.0,133.0,1404.0,0.8079617446393762	 0.5154577741758635,0.2527075812274368,0.7283950617283951,0.6,0.494148244473342,0.37037037037037035,0.6293859649122807,0.6512421287554905	 50 R1: 0 9 11 9 10 6 11 5 1 10 6 3 10 6 1 10 4 0  R2: 0 5 1 8 9 8 6 8 0  R3: 0 3 1 5 2 5 1 8 3 1 9 8 1 7 10 0  R4: 0 2 8 0  R5: 0 6 10 0  R6: 0 11 7 0  R7: 0 1 4 0  R8: 0 7 3 1 5 0  R9: 0 5 10 6 7 8 1 2 5 6 1 4 3 9 2 9 7 0  R10: 0 2 9 0  R11: 0 2 6 0  R12: 0 9 10 5 7 3 6 5 7 10 6 1 8 1 8 3 4 2 0  
