[3.8472726345062256, 0.19014084339141846]
[4.413778305053711, 0.6830986142158508]
[4.021660327911377, 0.5]
[4.4537482261657715, 0.35915493965148926]
[4.674075603485107, 0.49295774102211]
[4.126495838165283, 0.5281690359115601]
[4.214471817016602, 0.3661971688270569]
[3.391806125640869, 0.5633803009986877]
[4.261234760284424, 0.48591548204421997]
[3.9227347373962402, 0.3802816867828369]
[4.406786918640137, 0.35211268067359924]
[3.553826093673706, 0.5704225301742554]
[4.116348743438721, 0.5563380122184753]
[3.754242420196533, 0.39436620473861694]
[4.325429439544678, 0.5704225301742554]
[3.315307855606079, 0.5563380122184753]
[3.7526538372039795, 0.28169015049934387]
[4.6345367431640625, 0.4225352108478546]
[3.5305063724517822, 0.3661971688270569]
[3.699336528778076, 0.4084506928920746]
[3.113945484161377, 0.5985915660858154]
[4.027976036071777, 0.5211267471313477]
[3.789433240890503, 0.4647887349128723]
[4.312502384185791, 0.4154929518699646]
[3.851654529571533, 0.7042253613471985]
[4.096765041351318, 0.6478873491287231]
[4.172133922576904, 0.6478873491287231]
[4.246520519256592, 0.3661971688270569]
[4.962695121765137, 0.47183099389076233]
[4.532389163970947, 0.18309858441352844]
[4.407780170440674, 0.5492957830429077]
[3.9846296310424805, 0.3380281627178192]
[3.290555477142334, 0.6619718074798584]
[4.439225673675537, 0.3661971688270569]
[3.9414021968841553, 0.3802816867828369]
[4.652954578399658, 0.3380281627178192]
[3.9613535404205322, 0.35211268067359924]
[4.6155104637146, 0.8732394576072693]
[3.5206668376922607, 0.40140846371650696]
[4.048549175262451, 0.6690140962600708]
[4.133175849914551, 0.34507042169570923]
[4.4996256828308105, 0.7253521084785461]
[3.4335572719573975, 0.4084506928920746]
[3.4601521492004395, 0.6338028311729431]
[3.9957828521728516, 0.5633803009986877]
[3.876847743988037, 0.6619718074798584]
[3.6371729373931885, 0.5070422291755676]
[3.744762659072876, 0.4507042169570923]
[3.5694122314453125, 0.6197183132171631]
[3.694735288619995, 0.27464789152145386]
[3.9643261432647705, 0.6056337952613831]
[3.772221088409424, 0.5]
[4.096693515777588, 0.4507042169570923]
[4.145044803619385, 0.5]
[4.166138648986816, 0.04929577559232712]
[3.5464768409729004, 0.5563380122184753]
[3.764882802963257, 0.47183099389076233]
[3.708958864212036, 0.7042253613471985]
[4.31855583190918, 0.44366195797920227]
[4.327756881713867, 0.3802816867828369]
[4.071211338043213, 0.26056337356567383]
[4.566639423370361, 0.47887325286865234]
[3.7656168937683105, 0.47887325286865234]
[3.5842349529266357, 0.5422534942626953]
[3.516836643218994, 0.591549277305603]
[4.166818141937256, 0.42957746982574463]
[4.148689270019531, 0.38732394576072693]
[4.579610824584961, 0.31690141558647156]
[4.317994117736816, 0.21830986440181732]
[4.29587984085083, 0.577464759349823]
[3.0535080432891846, 0.6126760840415955]
[3.213691234588623, 0.5704225301742554]
[3.6384503841400146, 0.44366195797920227]
[5.006680965423584, 0.7112675905227661]
[3.6428041458129883, 0.6197183132171631]
[3.223489999771118, 0.7112675905227661]
[3.6547067165374756, 0.51408451795578]
[4.363770961761475, 0.22535210847854614]
[4.188207626342773, 0.26056337356567383]
[4.468995094299316, 0.47183099389076233]
[4.222021102905273, 0.3309859037399292]
[4.121062278747559, 0.23943662643432617]
[4.4518537521362305, 0.34507042169570923]
[4.511557102203369, 0.4154929518699646]
[5.084715843200684, 0.48591548204421997]
[4.070331573486328, 0.47183099389076233]
[4.392111301422119, 0.5985915660858154]
[3.5114009380340576, 0.5422534942626953]
[3.9585187435150146, 0.40140846371650696]
[4.384547710418701, 0.3661971688270569]
[3.4882800579071045, 0.3661971688270569]
[3.067016839981079, 0.6338028311729431]
[4.204324245452881, 0.3661971688270569]
[3.573923349380493, 0.6690140962600708]
[3.878425359725952, 0.40140846371650696]
[3.815168857574463, 0.5845070481300354]
[3.996643543243408, 0.3309859037399292]
[3.547267436981201, 0.49295774102211]
[3.444981813430786, 0.5633803009986877]
[3.8204967975616455, 0.42957746982574463]
