[3.0689077377319336, 0.38129496574401855]
[3.768296480178833, 0.5467625856399536]
[3.68733286857605, 0.42446044087409973]
[4.090970039367676, 0.4316546618938446]
[4.138306140899658, 0.568345308303833]
[3.8741605281829834, 0.5323740839958191]
[3.314366102218628, 0.6474820375442505]
[3.95330810546875, 0.6258992552757263]
[3.698082685470581, 0.49640288949012756]
[3.0449137687683105, 0.7338129281997681]
[3.318424940109253, 0.316546767950058]
[3.4404146671295166, 0.5611510872840881]
[4.619962692260742, 0.316546767950058]
[4.285309791564941, 0.40287768840789795]
[4.181766510009766, 0.7122302055358887]
[2.668320417404175, 0.7841726541519165]
[4.605295181274414, 0.6043165326118469]
[4.106387138366699, 0.02158273383975029]
[4.508101463317871, 0.35971224308013916]
[4.42918586730957, 0.09352517873048782]
[4.445032596588135, 0.3884892165660858]
[4.184471607208252, 0.4676258862018585]
[3.831315755844116, 0.34532374143600464]
[4.664062023162842, 0.14388489723205566]
[3.9764316082000732, 0.38129496574401855]
[4.216941833496094, 0.4676258862018585]
[4.4426984786987305, 0.46043166518211365]
[4.48337459564209, 0.5611510872840881]
[4.035879135131836, 0.4532374143600464]
[4.916423320770264, 0.4460431635379791]
[3.991114616394043, 0.6187050342559814]
[4.6407470703125, 0.3956834673881531]
[4.444929599761963, 0.4316546618938446]
[4.514669418334961, 0.7625899314880371]
[2.186652898788452, 0.5827338099479675]
[3.7358765602111816, 0.43884891271591187]
[4.465352535247803, 0.2733812928199768]
[4.9853515625, 0.633093535900116]
[3.863457202911377, 0.5323740839958191]
[4.018736839294434, 0.3525179922580719]
[3.845989465713501, 0.5755395889282227]
[2.660421848297119, 0.23021583259105682]
[4.234588623046875, 0.5035971403121948]
[3.0437638759613037, 0.6762589812278748]
[3.4768998622894287, 0.3381294906139374]
[3.4452359676361084, 0.38129496574401855]
[3.9351701736450195, 0.2589927911758423]
[3.8970770835876465, 0.20863309502601624]
[4.1436767578125, 0.5035971403121948]
[3.5895915031433105, 0.42446044087409973]
[3.747148036956787, 0.46043166518211365]
[3.7056610584259033, 0.36690646409988403]
[3.9294254779815674, 0.4532374143600464]
[4.505579471588135, 0.41726619005203247]
[4.3869853019714355, 0.28057554364204407]
[3.5921170711517334, 0.5539568066596985]
[3.7615597248077393, 0.12230215966701508]
[3.5601704120635986, 0.3525179922580719]
[4.100067615509033, 0.5395683646202087]
[4.407747745513916, 0.6043165326118469]
[4.053228855133057, 0.30215826630592346]
[3.9308183193206787, 0.28057554364204407]
[4.119302272796631, 0.6402877569198608]
[4.228525638580322, 0.48201438784599304]
[3.8519036769866943, 0.5467625856399536]
[3.8721377849578857, 0.38129496574401855]
[4.882895469665527, 0.3381294906139374]
[3.543309211730957, 0.1366906464099884]
[3.5481319427490234, 0.4532374143600464]
[3.733736276626587, 0.6618704795837402]
[3.159142255783081, 0.2733812928199768]
[3.5676724910736084, 0.6690647602081299]
[4.080084323883057, 0.633093535900116]
[3.7741105556488037, 0.5899280309677124]
[3.6229851245880127, 0.5251798629760742]
[2.7459018230438232, 0.5107913613319397]
[3.535939931869507, 0.568345308303833]
[3.995952606201172, 0.41726619005203247]
[4.123293399810791, 0.4316546618938446]
[4.130590915679932, 0.5395683646202087]
[4.036418437957764, 0.46043166518211365]
[4.887637615203857, 0.5323740839958191]
[4.2679290771484375, 0.5323740839958191]
[4.0049614906311035, 0.8273381590843201]
[4.901754856109619, 0.34532374143600464]
[3.5847418308258057, 0.7410072088241577]
[4.269128799438477, 0.4892086386680603]
[5.110052585601807, 0.40287768840789795]
[4.757500171661377, 0.0]
[3.229879856109619, 0.6834532618522644]
[3.3182177543640137, 0.7050359845161438]
[5.09433650970459, 0.43884891271591187]
[3.7708888053894043, 0.5323740839958191]
[3.1953790187835693, 0.4748201370239258]
[3.0615756511688232, 0.5755395889282227]
[3.3682546615600586, 0.49640288949012756]
[3.510486602783203, 0.7050359845161438]
[3.5730509757995605, 0.6258992552757263]
[3.7762794494628906, 0.6258992552757263]
[3.762373685836792, 0.7410072088241577]
