150022	107	153	0	10	892	138	1354	0.7454545454545455	
144938	107	157	0	9	901	147	1336	0.7272727272727273	
146170	118	139	1	7	921	155	1266	0.7272727272727273	
142678	199	162	1	7	1035	178	1253	0.7012987012987013	
145886	161	151	0	7	1200	157	1093	0.6623376623376623	
142071	132	86	3	6	934	126	1203	0.6515151515151516	
140610	249	141	1	7	1230	158	1123	0.7012987012987013	
138238	197	154	4	5	1134	121	1079	0.6727272727272727	
136297	129	99	8	4	922	117	1054	0.6590909090909092	
160716	18	132	4	7	688	158	1354	0.7792207792207793	
144815	167	86	3	5	1040	161	1118	0.6909090909090909	
143973	89	100	4	6	836	140	1203	0.696969696969697	
148289	336	75	3	4	1177	176	1145	0.6136363636363636	
132219	268	92	5	5	1083	145	1074	0.6545454545454545	
153948	118	84	3	5	875	136	1262	0.7272727272727273	
148840	310	77	3	4	1122	192	1106	0.6363636363636364	
129574	56	80	9	4	977	171	828	0.6590909090909092	
141360	62	49	6	5	766	184	1084	0.7090909090909091	
152491	107	65	4	6	702	136	1337	0.7575757575757576	
138974	84	60	5	4	911	134	1150	0.6136363636363636	
154713	26	149	3	7	778	132	1310	0.7922077922077921	
129195	338	173	6	5	1279	160	840	0.6545454545454545	
122463	26	132	11	5	810	169	849	0.7272727272727273	
153085	115	96	2	7	899	128	1286	0.7792207792207793	
137784	142	157	2	6	880	162	1328	0.6818181818181819	
140017	107	126	2	6	901	136	1270	0.6515151515151516	
133456	249	149	2	6	1103	146	1243	0.6515151515151516	
137920	239	164	4	5	1047	152	946	0.6545454545454545	
139533	271	65	4	5	1294	134	803	0.6	
157453	17	117	4	8	689	149	1272	0.7727272727272727	
138238	197	154	4	5	1134	121	1079	0.6727272727272727	
120919	484	173	7	5	1502	131	875	0.6000000000000001	
