#
153418,174,156,12,1054,105,1295,0.7954545454545454	
160676,167,146,9,818,157,1503,0.797979797979798	
159991,363,138,9,1271,107,1335,0.7676767676767677	
153320,267,149,8,1156,146,1291,0.7613636363636364	
171955,460,171,13,1508,94,1216,0.7902097902097902	
158232,454,139,8,1630,148,1051,0.7159090909090908	
177696,20,154,11,654,136,1499,0.859504132231405	
161025,157,141,9,919,150,1395,0.7575757575757576	
178046,122,148,9,795,142,1472,0.7878787878787878	
171829,77,128,12,711,152,1456,0.803030303030303	
171159,65,153,10,750,144,1462,0.8181818181818181	
171159,65,153,10,750,144,1462,0.8181818181818181	
144837,407,166,7,1496,170,1097,0.6883116883116883	
169886,188,141,9,905,152,1416,0.797979797979798	
175682,74,140,12,873,150,1365,0.8257575757575758	
175941,150,157,14,825,138,1469,0.8441558441558441	
#
153418,174,156,12,1054,105,1295,0.7954545454545454	
171159,65,153,10,750,144,1462,0.8181818181818181	
161854,199,87,8,971,117,1438,0.75	
153320,267,149,8,1156,146,1291,0.7613636363636364	
171955,460,171,13,1508,94,1216,0.7902097902097902	
158232,454,139,8,1630,148,1051,0.7159090909090908	
178436,8,154,12,610,126,1528,0.8409090909090909	
187552,6,145,13,601,140,1501,0.8531468531468531	
162431,199,87,8,971,116,1439,0.75	
177696,20,154,11,654,136,1499,0.859504132231405	
171829,77,128,12,711,152,1456,0.803030303030303	
171829,77,128,12,711,152,1456,0.803030303030303	
160676,167,146,9,818,157,1503,0.797979797979798	
178551,73,142,12,734,111,1507,0.8409090909090909	
#
151316,524,160,9,1351,133,1370,0.7878787878787878	
187552,6,145,13,601,140,1501,0.8531468531468531	
161854,199,87,8,971,117,1438,0.75	
153320,267,149,8,1156,146,1291,0.7613636363636364	
171955,460,171,13,1508,94,1216,0.7902097902097902	
158232,454,139,8,1630,148,1051,0.7159090909090908	
178436,8,154,12,610,126,1528,0.8409090909090909	
178436,8,154,12,610,126,1528,0.8409090909090909	
153418,174,156,12,1054,105,1295,0.7954545454545454	
160676,167,146,9,818,157,1503,0.797979797979798	
#
151316,524,160,9,1351,133,1370,0.7878787878787878	
187552,6,145,13,601,140,1501,0.8531468531468531	
161854,199,87,8,971,117,1438,0.75	
153320,267,149,8,1156,146,1291,0.7613636363636364	
171955,460,171,13,1508,94,1216,0.7902097902097902	
158232,454,139,8,1630,148,1051,0.7159090909090908	
178436,8,154,12,610,126,1528,0.8409090909090909	
178436,8,154,12,610,126,1528,0.8409090909090909	
153418,174,156,12,1054,105,1295,0.7954545454545454	
160676,167,146,9,818,157,1503,0.797979797979798	
#
151316,524,160,9,1351,133,1370,0.7878787878787878	
187552,6,145,13,601,140,1501,0.8531468531468531	
161854,199,87,8,971,117,1438,0.75	
153320,267,149,8,1156,146,1291,0.7613636363636364	
171955,460,171,13,1508,94,1216,0.7902097902097902	
158232,454,139,8,1630,148,1051,0.7159090909090908	
