Offline,Kendall,Pearson,MOEAD
6,14,18,49
10,16,16,31
10,13,16,43
4,17,11,40
10,12,14,40
7,19,10,45
10,21,14,41
11,18,19,47
9,14,13,49
8,15,18,47
8,16,11,33
7,16,12,46
7,16,13,32
7,14,15,42
8,19,23,42
9,15,14,30
9,15,19,43
5,21,18,50
4,18,19,49
12,13,20,42
6,22,14,41
