52902.0	28155.70909090909	151618	42	162	3	8
62748.0	25475.554545454546	141541	56	162	4	6
63110.0	25155.127272727274	144824	100	162	4	5
66392.0	24626.454545454544	140280	42	101	5	6
72000.0	23312.345454545455	134068	27	119	6	5
72962.0	23022.536363636365	133889	104	88	5	5
74550.0	22851.609090909093	141947	128	81	5	4
76156.0	22716.045454545456	128255	169	117	5	5
86902.0	21961.681818181816	141865	159	39	6	4
118964.0	18697.445454545457	122569	394	26	10	3
58218.0	26163.572727272727	147553	67	149	3	6
62060.0	25953.372727272726	145641	52	149	4	6
62318.0	25444.47272727273	140502	52	149	4	6
63766.0	25432.563636363637	140412	77	162	3	6
64784.0	24777.945454545457	149714	148	120	2	5
68530.0	24750.263636363637	133759	75	162	4	6
71156.0	24668.072727272727	131968	62	162	5	6
73566.0	23398.727272727272	128000	62	162	5	5
77470.0	22700.47272727273	139492	97	89	6	4
98996.0	20705.645454545454	121211	199	105	8	4
101474.0	20473.48181818182	124123	72	68	9	4
101918.0	21141.745454545457	116832	151	167	9	4
104256.0	18057.445454545457	113569	79	33	10	3
110216.0	17852.845454545455	110673	95	42	11	3
49514.0	28418.427272727273	155557	85	155	2	8
51270.0	28169.863636363636	154005	125	154	2	8
54732.0	28032.527272727275	154088	85	144	3	8
55064.0	26903.924675324677	147496	85	155	3	7
59240.0	25597.624675324678	140713	85	113	4	7
67550.0	23446.754545454547	143373	77	64	4	5
78854.0	21888.98181818182	137368	77	64	6	4
97694.0	20895.454545454544	134450	291	54	7	4
59146.0	26314.236363636366	148676	131	138	2	7
64336.0	25307.363636363636	139310	63	156	5	6
68986.0	24527.663636363635	132643	62	150	6	6
69054.0	24007.563636363637	141152	217	138	2	5
74676.0	23331.127272727274	131374	62	140	7	5
75598.0	23285.627272727274	131419	62	140	7	5
77872.0	20440.418181818182	123956	172	66	5	4
