Offline,Kendall,Pearson,MOEAD
5,19,22,41
6,21,14,41
8,20,16,39
2,16,23,41
5,10,18,48
7,23,27,33
7,19,17,57
4,12,19,42
7,16,22,42
5,15,20,40
10,15,17,38
11,17,17,38
9,16,24,46
4,17,19,43
5,12,19,56
6,13,15,46
10,17,18,52
4,18,26,20
8,13,24,28
10,17,20,30
5,19,14,43
