Offline,Kendall,Pearson,MOEAD
5,25,41,51
4,45,53,66
7,36,22,52
5,46,55,67
8,38,28,46
5,41,40,42
7,48,45,40
4,42,25,69
7,41,53,60
9,48,50,55
7,43,22,52
4,35,31,63
8,38,29,60
6,17,51,40
3,22,23,66
12,38,32,48
6,34,38,68
7,33,37,45
6,32,59,64
6,29,46,40
4,44,77,51
