[2374.511474609375, 5429.87060546875, 9751.6259765625]	268505,459,119,8,2514,384,2155,0.1875	 100 R1: 0 3 5 9 7 2 8 11 6 8 4 3 2 1 9 10 6 5 1 2 0  R2: 0 3 10 7 4 9 8 6 2 10 5 1 9 7 2 6 8 5 1 7 6 4 1 8 5 11 3 9 0  R3: 0 11 6 0  R4: 0 1 5 8 1 10 5 1 6 3 6 5 7 10 8 6 10 4 9 4 10 6 9 1 5 6 1 11 5 0  R5: 0 8 2 3 0  R6: 0 2 10 2 8 9 2 10 5 10 3 6 7 10 1 10 8 4 3 6 10 1 0  R7: 0 7 3 7 5 6 9 10 6 4 3 9 10 5 1 10 7 2 9 8 11 1 6 0  R8: 0 3 1 3 4 11 8 7 4 9 10 8 3 1 4 8 9 5 9 6 10 0  
[2416.362548828125, 4096.2666015625, 10969.1904296875]	272136,341,149,9,2432,334,2193,0.2222222222222222	 100 R1: 0 3 9 1 5 3 7 2 10 3 11 4 10 3 6 2 8 10 7 6 9 1 5 6 5 9 1 11 3 4 0  R2: 0 7 5 7 11 7 3 6 4 5 10 4 6 8 10 1 7 10 6 8 3 10 1 0  R3: 0 10 3 6 5 10 1 8 5 6 9 5 6 2 5 4 2 7 1 8 10 1 8 10 2 6 0  R4: 0 7 10 8 1 0  R5: 0 9 7 0  R6: 0 2 4 6 7 5 2 8 9 6 4 3 7 2 5 1 10 9 5 1 8 2 7 0  R7: 0 8 2 8 9 1 6 1 10 5 7 10 6 3 9 2 4 9 11 6 11 10 9 0  R8: 0 3 1 4 9 8 2 11 8 9 10 3 4 3 1 11 2 6 8 3 5 0  R9: 0 6 9 1 0  
[2221.3349609375, 2820.9228515625, 15839.66796875]	298767,227,159,13,2471,308,2016,0.25	 100 R1: 0 5 9 0  R2: 0 1 3 9 2 8 9 4 6 5 8 1 9 7 10 6 4 8 7 1 2 3 8 10 0  R3: 0 5 1 3 2 9 10 8 5 6 4 10 3 7 10 2 5 9 3 5 4 6 10 5 0  R4: 0 6 5 6 1 9 0  R5: 0 10 3 0  R6: 0 3 10 9 2 11 6 8 9 2 6 5 7 1 3 10 5 1 8 6 2 9 1 5 9 1 11 10 4 0  R7: 0 7 3 8 5 10 5 2 6 8 5 7 2 1 5 7 3 2 10 8 6 10 11 9 0  R8: 0 8 9 2 3 6 0  R9: 0 5 4 6 8 1 0  R10: 0 2 5 10 7 4 3 2 9 0  R11: 0 10 8 0  R12: 0 11 9 11 3 8 6 8 10 1 9 4 11 0  R13: 0 7 1 7 2 8 6 3 9 4 11 1 3 0  
[2533.16455078125, 4507.90966796875, 10968.6494140625]	264542,379,150,9,2297,366,2299,0.16666666666666663	 100 R1: 0 3 1 3 1 10 2 8 10 5 7 2 4 3 8 9 8 1 10 9 1 6 0  R2: 0 6 1 5 0  R3: 0 9 4 6 5 0  R4: 0 10 5 7 1 3 8 6 9 2 10 6 0  R5: 0 7 5 2 9 0  R6: 0 11 7 6 5 10 11 3 5 7 4 8 5 7 5 1 2 8 3 10 2 1 6 11 0  R7: 0 5 2 9 8 5 10 1 4 11 6 4 3 9 7 6 8 10 4 1 6 1 5 2 8 9 0  R8: 0 3 7 1 5 10 9 4 2 5 8 9 8 1 2 10 6 4 6 9 5 9 6 4 11 0  R9: 0 4 2 4 8 1 6 10 4 10 3 10 3 8 4 5 7 3 10 6 10 6 5 11 9 0  
[2482.462646484375, 3758.926513671875, 10970.4833984375]	304927,312,175,9,2325,311,2253,0.13888888888888884	 100 R1: 0 3 9 4 8 6 5 2 6 8 4 1 2 3 10 5 6 7 3 10 9 1 5 1 6 9 4 11 0  R2: 0 5 11 7 6 9 4 11 6 7 4 1 2 10 9 5 6 5 1 9 0  R3: 0 7 5 1 7 3 2 1 4 6 5 0  R4: 0 1 5 8 1 5 1 10 11 9 5 10 6 8 4 2 3 10 9 4 1 9 6 11 8 2 9 0  R5: 0 10 1 3 10 8 4 9 2 10 9 11 5 6 7 3 2 8 6 10 0  R6: 0 8 2 10 3 8 6 8 7 1 10 8 10 3 10 1 4 0  R7: 0 2 9 7 2 9 5 8 6 1 3 2 7 6 10 8 6 4 9 11 0  R8: 0 8 10 5 1 10 5 9 6 7 4 8 3 10 2 6 5 0  R9: 0 3 10 3 10 0  
[2382.19189453125, 4162.9541015625, 12185.88671875]	257969,347,126,10,2426,291,2162,0.25	 100 R1: 0 9 10 11 6 0  R2: 0 5 1 11 8 5 9 2 8 1 4 3 6 7 0  R3: 0 3 10 6 5 10 4 6 7 6 9 4 6 5 2 7 2 9 8 10 9 5 1 2 7 0  R4: 0 4 9 8 1 8 10 4 6 10 4 3 5 1 7 4 0  R5: 0 1 3 8 5 10 2 6 10 8 9 11 7 1 6 10 6 9 3 9 1 5 6 5 11 9 4 0  R6: 0 7 1 3 2 5 8 1 6 1 10 3 6 8 4 8 7 10 3 10 6 10 1 11 0  R7: 0 2 7 2 3 9 2 10 5 7 10 2 8 5 1 10 6 4 6 1 8 5 0  R8: 0 11 8 0  R9: 0 2 8 6 2 3 0  R10: 0 8 6 9 1 6 0  
[2676.4033203125, 6059.8310546875, 9750.7890625]	255144,517,124,8,2323,380,2429,0.125	 100 R1: 0 1 8 0  R2: 0 9 1 7 2 1 6 8 10 3 6 4 3 6 1 10 8 10 6 9 5 1 9 4 11 0  R3: 0 10 6 5 8 11 10 2 7 9 6 10 6 10 5 1 7 5 2 10 6 9 3 11 4 10 1 0  R4: 0 2 5 2 5 1 2 4 10 9 10 7 5 9 6 7 2 8 1 2 6 10 11 9 4 0  R5: 0 3 10 7 3 8 5 6 8 11 6 4 3 2 8 9 1 7 8 3 1 5 0  R6: 0 3 1 3 8 3 10 3 5 9 8 1 5 2 7 10 9 5 3 10 6 5 1 4 0  R7: 0 7 5 1 10 4 7 6 8 11 8 0  R8: 0 2 6 5 9 6 8 0  
[2365.681884765625, 4950.619140625, 10969.6640625]	283961,416,159,9,2545,340,2147,0.19444444444444442	 100 R1: 0 1 3 8 3 10 2 6 10 8 5 8 1 9 10 3 7 2 6 1 9 1 11 8 5 3 9 0  R2: 0 3 10 0  R3: 0 5 2 5 4 10 9 11 4 6 1 8 2 5 9 8 6 5 1 10 4 5 6 2 9 1 11 5 7 0  R4: 0 8 2 1 0  R5: 0 3 1 4 11 7 9 0  R6: 0 7 10 7 9 5 7 3 5 6 9 10 9 11 7 10 5 1 8 10 9 6 0  R7: 0 7 5 7 5 2 1 8 5 11 7 6 4 1 3 2 6 5 0  R8: 0 1 3 1 2 9 4 9 2 6 3 4 3 8 6 1 9 5 8 3 10 4 0  R9: 0 4 10 6 8 1 8 6 10 6 10 4 5 10 5 6 8 3 10 1 9 8 6 4 11 10 7 0  
[2551.85791015625, 1567.4361572265625, 14621.5419921875]	272497,119,165,12,2098,258,2316,0.375	 100 R1: 0 3 1 2 5 3 5 6 4 1 11 6 9 0  R2: 0 4 10 2 9 8 1 9 10 6 10 2 8 4 3 5 8 1 2 11 9 10 3 0  R3: 0 1 5 1 4 3 10 6 8 10 7 4 3 9 7 10 6 5 1 9 7 3 4 6 10 5 9 1 11 0  R4: 0 9 8 0  R5: 0 7 10 6 5 8 3 9 6 8 1 3 2 10 9 6 10 4 3 5 1 6 5 10 0  R6: 0 9 6 0  R7: 0 9 11 0  R8: 0 8 1 4 3 0  R9: 0 11 7 6 2 11 8 9 7 2 4 1 5 7 11 6 1 8 9 1 5 10 0  R10: 0 7 1 7 2 3 8 4 5 2 7 6 8 1 10 2 6 8 9 1 0  R11: 0 10 1 10 6 0  R12: 0 3 10 3 10 0  
[2722.677978515625, 3110.927490234375, 12185.666015625]	253343,258,168,10,1946,377,2471,0.25	 100 R1: 0 3 5 10 5 9 5 8 9 2 5 9 10 7 10 6 11 8 2 1 9 11 6 8 0  R2: 0 11 6 0  R3: 0 7 5 1 3 4 2 4 5 2 10 0  R4: 0 10 3 10 8 11 7 11 8 5 1 8 1 9 2 6 9 4 10 9 6 7 0  R5: 0 2 7 1 2 3 5 6 9 6 10 2 5 7 8 10 1 4 3 9 1 6 10 11 9 5 0  R6: 0 9 5 6 5 0  R7: 0 1 4 0  R8: 0 8 3 5 6 10 4 10 1 10 7 2 3 6 4 10 8 1 2 6 1 5 10 1 9 11 0  R9: 0 7 3 6 9 1 0  R10: 0 4 6 7 8 1 8 6 1 4 3 4 3 1 5 1 6 8 4 3 1 2 0  
